epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,684.937,1.56141,2.06756,1.38669,0.36783,0.42611,0.34218,0.17617,1.60722,2.22751,1.47831,0.000659933,0.000659933,0.000659933
2,1706.15,1.55534,1.68465,1.40178,0.55329,0.43359,0.4586,0.23587,1.76565,1.9469,1.64685,0.00130033,0.00130033,0.00130033
3,2878.5,1.58717,1.57976,1.41808,0.51503,0.39168,0.40281,0.2106,1.71798,1.98628,1.58647,0.00191433,0.00191433,0.00191433
4,3807.04,1.57284,1.4948,1.39958,0.53336,0.5,0.50455,0.27299,1.62509,1.68016,1.48921,0.0018812,0.0018812,0.0018812
5,8676.38,1.52211,1.42922,1.37832,0.63222,0.49819,0.56015,0.29667,1.64491,1.76861,1.46704,0.0018416,0.0018416,0.0018416
6,17645.7,1.49815,1.36752,1.3609,0.67724,0.56241,0.62853,0.35573,1.48924,1.6077,1.41461,0.001802,0.001802,0.001802
7,18369.3,1.48695,1.35251,1.36542,0.68486,0.57317,0.63582,0.36446,1.49039,1.37188,1.37334,0.0017624,0.0017624,0.0017624
8,19274.8,1.4577,1.29553,1.32446,0.67389,0.52773,0.60302,0.35625,1.46296,1.45184,1.37588,0.0017228,0.0017228,0.0017228
9,20248.6,1.44019,1.27009,1.30195,0.68642,0.59541,0.6549,0.38522,1.42086,1.41504,1.35947,0.0016832,0.0016832,0.0016832
10,21428.9,1.41954,1.248,1.30987,0.70714,0.62532,0.69239,0.40312,1.43064,1.25533,1.34119,0.0016436,0.0016436,0.0016436
11,22603.1,1.40573,1.2423,1.30017,0.70739,0.56882,0.66213,0.39434,1.40912,1.32461,1.31646,0.001604,0.001604,0.001604
12,23550.3,1.37126,1.17238,1.28556,0.70674,0.60043,0.65672,0.38433,1.46846,1.38345,1.35465,0.0015644,0.0015644,0.0015644
13,24676.5,1.38033,1.1808,1.28303,0.70478,0.61138,0.67182,0.40464,1.40218,1.23201,1.30854,0.0015248,0.0015248,0.0015248
14,25492.8,1.36681,1.18801,1.28263,0.73791,0.61334,0.69724,0.4064,1.40348,1.31947,1.33302,0.0014852,0.0014852,0.0014852
15,26223.3,1.35675,1.14536,1.26645,0.70357,0.64634,0.69506,0.41895,1.385,1.2289,1.30964,0.0014456,0.0014456,0.0014456
16,27063.3,1.34744,1.11419,1.26744,0.71118,0.63415,0.70543,0.43571,1.35552,1.23696,1.29305,0.001406,0.001406,0.001406
17,27874,1.32788,1.11845,1.25598,0.71776,0.61836,0.68969,0.41874,1.42568,1.20284,1.32564,0.0013664,0.0013664,0.0013664
18,28631.8,1.31609,1.09352,1.24849,0.65666,0.63661,0.68018,0.41101,1.37875,1.18828,1.27563,0.0013268,0.0013268,0.0013268
19,29375,1.32389,1.0947,1.2437,0.76196,0.64132,0.72603,0.44269,1.33008,1.14245,1.25622,0.0012872,0.0012872,0.0012872
20,30098.7,1.30119,1.07353,1.239,0.71441,0.6363,0.7122,0.4375,1.3226,1.29865,1.27235,0.0012476,0.0012476,0.0012476
21,44413,1.28191,1.06204,1.23129,0.68175,0.6076,0.66976,0.40797,1.37755,1.24494,1.30161,0.001208,0.001208,0.001208
22,45360,1.29737,1.05539,1.23093,0.73128,0.66764,0.73727,0.45635,1.32701,1.1364,1.27505,0.0011684,0.0011684,0.0011684
23,46312.8,1.28529,1.0334,1.2247,0.73896,0.61765,0.70646,0.45034,1.29918,1.12715,1.25317,0.0011288,0.0011288,0.0011288
24,47266,1.27264,1.03284,1.21518,0.759,0.61836,0.71833,0.45944,1.29658,1.0858,1.26029,0.0010892,0.0010892,0.0010892
25,48205.7,1.2552,0.99223,1.20766,0.77731,0.60832,0.72872,0.46772,1.28092,1.08356,1.2257,0.0010496,0.0010496,0.0010496
26,49186.8,1.2784,1.00174,1.2051,0.75558,0.65136,0.73975,0.47025,1.27856,1.09759,1.24801,0.00101,0.00101,0.00101
27,50112.7,1.22689,0.96884,1.18777,0.74565,0.64275,0.72975,0.47579,1.26556,1.06296,1.23574,0.0009704,0.0009704,0.0009704
28,51039.6,1.22366,0.95778,1.18393,0.73245,0.64706,0.72587,0.45858,1.30246,1.06052,1.25126,0.0009308,0.0009308,0.0009308
29,51984.1,1.23336,0.94871,1.1966,0.74441,0.64921,0.74462,0.47699,1.28418,1.0596,1.22244,0.0008912,0.0008912,0.0008912
30,53088.2,1.22493,0.94552,1.19178,0.75004,0.63716,0.73954,0.47348,1.27949,1.0343,1.22942,0.0008516,0.0008516,0.0008516
31,54299.8,1.21711,0.94491,1.18796,0.72889,0.66069,0.74114,0.47728,1.24493,1.0826,1.21404,0.000812,0.000812,0.000812
